NOMBRE,ALCALDIAS,Delitos_DEL,QTY_EST_DEL,DelitosXEstacion,Afluencia_total,prob_Delito_Usr,prob_Delito_MillonUsr
Balbuena,VENUSTIANO_CARRANZA,152,20,7.6000,2246042,0.00000338,3.38
Balderas,CUAUHTEMOC,324,30,10.8000,9646300,0.00000112,1.12
"Boulevard Puerto Aereo",VENUSTIANO_CARRANZA,152,20,7.6000,5468560,0.00000139,1.39
Candelaria,VENUSTIANO_CARRANZA,152,20,7.6000,16739484,0.00000045,0.45
Cuauhtemoc,CUAUHTEMOC,324,30,10.8000,4054718,0.00000266,2.66
Chapultepec,CUAUHTEMOC,324,30,10.8000,9091332,0.00000119,1.19
"Gomez Farias",VENUSTIANO_CARRANZA,152,20,7.6000,7337725,0.00000104,1.04
Insurgentes,CUAUHTEMOC,324,30,10.8000,6879516,0.00000157,1.57
"Isabel La Catolica",CUAUHTEMOC,324,30,10.8000,4608832,0.00000234,2.34
Juanacatlan,MIGUEL_HIDALGO,88,13,6.7692,1859621,0.00000364,3.64
Merced,VENUSTIANO_CARRANZA,152,20,7.6000,11449206,0.00000066,0.66
Moctezuma,VENUSTIANO_CARRANZA,152,20,7.6000,4486218,0.00000169,1.69
Observatorio,ALVARO_OBREGON,10,3,3.3333,12178741,0.00000027,0.27
Pantitlan,VENUSTIANO_CARRANZA,152,20,7.6000,137979780,0.00000006,0.06
"Pino Suarez",CUAUHTEMOC,324,30,10.8000,24433538,0.00000044,0.44
"Salto del Agua",CUAUHTEMOC,324,30,10.8000,14936440,0.00000072,0.72
"San Lazaro",VENUSTIANO_CARRANZA,152,20,7.6000,8194494,0.00000093,0.93
Sevilla,CUAUHTEMOC,324,30,10.8000,5624058,0.00000192,1.92
Tacubaya,MIGUEL_HIDALGO,88,13,6.7692,57283500,0.00000012,0.12
Zaragoza,VENUSTIANO_CARRANZA,152,20,7.6000,8708578,0.00000087,0.87
Atlalilco,IZTAPALAPA,36,15,2.4000,10926668,0.00000022,0.22
"Calle 11",IZTAPALAPA,36,15,2.4000,994257,0.00000241,2.41
Culhuacan,IZTAPALAPA,36,15,2.4000,1179625,0.00000203,2.03
"Eje Central",BENITO_JUAREZ,53,18,2.9444,664899,0.00000443,4.43
Ermita,BENITO_JUAREZ,53,18,2.9444,8422634,0.00000035,0.35
"Hospital 20 de Noviembre",BENITO_JUAREZ,53,18,2.9444,593128,0.00000496,4.96
"Insurgentes Sur",BENITO_JUAREZ,53,18,2.9444,1807375,0.00000163,1.63
"Lomas Estrella",IZTAPALAPA,36,15,2.4000,545971,0.00000440,4.40
Mexicaltzingo,IZTAPALAPA,36,15,2.4000,1030856,0.00000233,2.33
Mixcoac,BENITO_JUAREZ,53,18,2.9444,13303088,0.00000022,0.22
Nopalera,TLAHUAC,6,5,1.2000,1619653,0.00000074,0.74
Olivos,TLAHUAC,6,5,1.2000,1105981,0.00000109,1.09
"Parque de los Venados",BENITO_JUAREZ,53,18,2.9444,567984,0.00000518,5.18
"Periferico Oriente",IZTAPALAPA,36,15,2.4000,1916407,0.00000125,1.25
"San Andres Tomatlan",IZTAPALAPA,36,15,2.4000,628588,0.00000382,3.82
Tezonco,IZTAPALAPA,36,15,2.4000,1623999,0.00000148,1.48
Tlahuac,TLAHUAC,6,5,1.2000,3245863,0.00000037,0.37
Tlaltenco,TLAHUAC,6,5,1.2000,301594,0.00000398,3.98
Zapata,BENITO_JUAREZ,53,18,2.9444,15608812,0.00000019,0.19
Zapotitlan,TLAHUAC,6,5,1.2000,960815,0.00000125,1.25
Allende,CUAUHTEMOC,324,30,10.8000,4250192,0.00000254,2.54
"Bellas Artes",CUAUHTEMOC,324,30,10.8000,17019212,0.00000063,0.63
"Colegio Militar",MIGUEL_HIDALGO,88,13,6.7692,2118471,0.00000320,3.20
"Cuatro Caminos",MIGUEL_HIDALGO,88,13,6.7692,15156149,0.00000045,0.45
Cuitlahuac,MIGUEL_HIDALGO,88,13,6.7692,3213123,0.00000211,2.11
Chabacano,CUAUHTEMOC,324,30,10.8000,24896502,0.00000043,0.43
"General Anaya",COYOACAN,19,5,3.8000,3279093,0.00000116,1.16
Hidalgo,CUAUHTEMOC,324,30,10.8000,16105908,0.00000067,0.67
Nativitas,BENITO_JUAREZ,53,18,2.9444,3190651,0.00000092,0.92
Normal,MIGUEL_HIDALGO,88,13,6.7692,5211134,0.00000130,1.30
Panteones,MIGUEL_HIDALGO,88,13,6.7692,2235576,0.00000303,3.03
Popotla,MIGUEL_HIDALGO,88,13,6.7692,1390202,0.00000487,4.87
Portales,BENITO_JUAREZ,53,18,2.9444,3691622,0.00000080,0.80
Revolucion,CUAUHTEMOC,324,30,10.8000,4495227,0.00000240,2.40
"San Antonio Abad",CUAUHTEMOC,324,30,10.8000,3533270,0.00000306,3.06
"San Cosme",CUAUHTEMOC,324,30,10.8000,3407301,0.00000317,3.17
Tacuba,MIGUEL_HIDALGO,88,13,6.7692,18151274,0.00000037,0.37
Tasquena,COYOACAN,19,5,3.8000,14486239,0.00000026,0.26
Viaducto,BENITO_JUAREZ,53,18,2.9444,3287377,0.00000090,0.90
"Villa de Cortes",BENITO_JUAREZ,53,18,2.9444,2926908,0.00000101,1.01
Xola,BENITO_JUAREZ,53,18,2.9444,3267474,0.00000090,0.90
Zocalo/Tenochtitlan,CUAUHTEMOC,324,30,10.8000,6390406,0.00000169,1.69
"Centro Medico",CUAUHTEMOC,324,30,10.8000,14086480,0.00000077,0.77
Copilco,COYOACAN,19,5,3.8000,4626936,0.00000082,0.82
Coyoacan,BENITO_JUAREZ,53,18,2.9444,3793860,0.00000078,0.78
"Deportivo 18 de Marzo",GUSTAVO_A_MADERO,74,17,4.3529,12521096,0.00000035,0.35
"Division del Norte",BENITO_JUAREZ,53,18,2.9444,2815721,0.00000105,1.05
"Etiopia/Plaza de la Transparencia",BENITO_JUAREZ,53,18,2.9444,4693331,0.00000063,0.63
Eugenia,BENITO_JUAREZ,53,18,2.9444,2823476,0.00000104,1.04
Guerrero,CUAUHTEMOC,324,30,10.8000,3628566,0.00000298,2.98
"Hospital General",CUAUHTEMOC,324,30,10.8000,3421978,0.00000316,3.16
"Indios Verdes",GUSTAVO_A_MADERO,74,17,4.3529,23449776,0.00000019,0.19
Juarez,CUAUHTEMOC,324,30,10.8000,2956795,0.00000365,3.65
"La Raza",GUSTAVO_A_MADERO,74,17,4.3529,17384918,0.00000025,0.25
"Miguel angel de Quevedo",COYOACAN,19,5,3.8000,6631245,0.00000057,0.57
Potrero,GUSTAVO_A_MADERO,74,17,4.3529,2998686,0.00000145,1.45
Tlatelolco,CUAUHTEMOC,324,30,10.8000,3424240,0.00000315,3.15
Universidad,COYOACAN,19,5,3.8000,9438252,0.00000040,0.40
"Viveros/Derechos Humanos",ALVARO_OBREGON,10,3,3.3333,4009630,0.00000083,0.83
Bondojito,GUSTAVO_A_MADERO,74,17,4.3529,1242891,0.00000350,3.50
"Canal del Norte",VENUSTIANO_CARRANZA,152,20,7.6000,1714787,0.00000443,4.43
Consulado,GUSTAVO_A_MADERO,74,17,4.3529,3942362,0.00000110,1.10
"Fray Servando",VENUSTIANO_CARRANZA,152,20,7.6000,1827514,0.00000416,4.16
Jamaica,VENUSTIANO_CARRANZA,152,20,7.6000,8344946,0.00000091,0.91
"Martin Carrera",GUSTAVO_A_MADERO,74,17,4.3529,18500380,0.00000024,0.24
Morelos,VENUSTIANO_CARRANZA,152,20,7.6000,2766154,0.00000275,2.75
"Santa Anita",IZTACALCO,47,3,15.6667,2833288,0.00000553,5.53
Talisman,GUSTAVO_A_MADERO,74,17,4.3529,895738,0.00000486,4.86
Aragon,GUSTAVO_A_MADERO,74,17,4.3529,1605655,0.00000271,2.71
"Autobuses del Norte",GUSTAVO_A_MADERO,74,17,4.3529,4322667,0.00000101,1.01
"Eduardo Molina",GUSTAVO_A_MADERO,74,17,4.3529,1293750,0.00000336,3.36
Hangares,VENUSTIANO_CARRANZA,152,20,7.6000,946994,0.00000803,8.03
"Instituto del Petroleo",GUSTAVO_A_MADERO,74,17,4.3529,3281088,0.00000133,1.33
Misterios,GUSTAVO_A_MADERO,74,17,4.3529,1696494,0.00000257,2.57
Oceania,VENUSTIANO_CARRANZA,152,20,7.6000,4111754,0.00000185,1.85
Politecnico,GUSTAVO_A_MADERO,74,17,4.3529,5789532,0.00000075,0.75
"Terminal Aerea",VENUSTIANO_CARRANZA,152,20,7.6000,4419693,0.00000172,1.72
"Valle Gomez",GUSTAVO_A_MADERO,74,17,4.3529,912959,0.00000477,4.77
"El Rosario",AZCAPOTZALCO,11,9,1.2222,18457848,0.00000007,0.07
"Ferreria/Arena Ciudad de Mexico",AZCAPOTZALCO,11,9,1.2222,3524534,0.00000035,0.35
"La Villa/Basilica",GUSTAVO_A_MADERO,74,17,4.3529,2292984,0.00000190,1.90
Lindavista,GUSTAVO_A_MADERO,74,17,4.3529,2411708,0.00000180,1.80
"Norte 45",AZCAPOTZALCO,11,9,1.2222,1619693,0.00000075,0.75
Tezozomoc,AZCAPOTZALCO,11,9,1.2222,1093928,0.00000112,1.12
Vallejo,AZCAPOTZALCO,11,9,1.2222,1955966,0.00000062,0.62
"Aquiles Serdan",AZCAPOTZALCO,11,9,1.2222,2199473,0.00000056,0.56
Auditorio,MIGUEL_HIDALGO,88,13,6.7692,5474627,0.00000124,1.24
"Barranca del Muerto",ALVARO_OBREGON,10,3,3.3333,7331623,0.00000045,0.45
Camarones,AZCAPOTZALCO,11,9,1.2222,3021762,0.00000040,0.40
Constituyentes,MIGUEL_HIDALGO,88,13,6.7692,1153246,0.00000587,5.87
Polanco,MIGUEL_HIDALGO,88,13,6.7692,5373504,0.00000126,1.26
Refineria,AZCAPOTZALCO,11,9,1.2222,2206048,0.00000055,0.55
"San Antonio",BENITO_JUAREZ,53,18,2.9444,2429723,0.00000121,1.21
"San Joaquin",MIGUEL_HIDALGO,88,13,6.7692,4896923,0.00000138,1.38
"San Pedro de Los Pinos",BENITO_JUAREZ,53,18,2.9444,2399129,0.00000123,1.23
Aculco,IZTAPALAPA,36,15,2.4000,2316884,0.00000104,1.04
Apatlaco,IZTAPALAPA,36,15,2.4000,3676323,0.00000065,0.65
"Cerro de la Estrella",IZTAPALAPA,36,15,2.4000,2606672,0.00000092,0.92
"Constitucion de 1917",IZTAPALAPA,36,15,2.4000,20500309,0.00000012,0.12
Coyuya,IZTACALCO,47,3,15.6667,5581291,0.00000281,2.81
Doctores,CUAUHTEMOC,324,30,10.8000,2988875,0.00000361,3.61
"Escuadron 201",IZTAPALAPA,36,15,2.4000,4527035,0.00000053,0.53
Garibaldi/Lagunilla,CUAUHTEMOC,324,30,10.8000,4803315,0.00000225,2.25
Iztacalco,IZTACALCO,47,3,15.6667,4365189,0.00000359,3.59
Iztapalapa,IZTAPALAPA,36,15,2.4000,2443580,0.00000098,0.98
"La Viga",CUAUHTEMOC,324,30,10.8000,1599439,0.00000675,6.75
Obrera,CUAUHTEMOC,324,30,10.8000,3182282,0.00000339,3.39
"San Juan de Letran",CUAUHTEMOC,324,30,10.8000,6320155,0.00000171,1.71
UAM-I,IZTAPALAPA,36,15,2.4000,5254770,0.00000046,0.46
"Ciudad Deportiva",VENUSTIANO_CARRANZA,152,20,7.6000,1275094,0.00000596,5.96
Chilpancingo,CUAUHTEMOC,324,30,10.8000,9430276,0.00000115,1.15
"Lazaro Cardenas",CUAUHTEMOC,324,30,10.8000,2951608,0.00000366,3.66
Patriotismo,CUAUHTEMOC,324,30,10.8000,3795726,0.00000285,2.85
Puebla,VENUSTIANO_CARRANZA,152,20,7.6000,7068973,0.00000108,1.08
Velodromo,VENUSTIANO_CARRANZA,152,20,7.6000,1770000,0.00000429,4.29
